"","median","lower.2.5%","upper.97.5%"
"Barents.Sea",23.4471,17.10785,26.8212
"Canadian.Eastern.Arctic...West.Greenland",20.81955,19.71383,21.4611875
"Celtic.Biscay.Shelf",27.9528,27.2535725,28.4729175
"Faroe.Plateau",25.4433,25.2614625,27.308355
"Greenland.Sea",23.9997,21.25325,24.9865
"Hudson.Bay.Complex",14.84185,12.7730825,16.9106175
"Iceland.Shelf.and.Sea",24.3717,23.94787,24.806985
"Kara.Sea",21.29205,17.0379025,25.5461975
"Labrador...Newfoundland",21.2211,20.092225,26.7882
"North.Sea",27.3495,25.91754,28.0206625
"Northeast.U.S..Continental.Shelf",24.0158,17.908535,24.50239
"Norwegian.Sea",27.67945,25.414065,27.99292
"Scotian.Shelf",14.758,13.6075,23.867015
