"","Region","median_percent_na","median_pers"
"1","Barents.Sea",38.8984509466437,23.4471
"2","Canadian.Eastern.Arctic...West.Greenland",4.78468899521531,20.81955
"3","Celtic.Biscay.Shelf",3.61219830397913,27.9528
"4","Faroe.Plateau",0,25.4433
"5","Greenland.Sea",18.2330827067669,23.9997
"6","Hudson.Bay.Complex",4.11458333333333,14.84185
"7","Iceland.Shelf.and.Sea",3.11904922682153,24.3717
"8","Kara.Sea",9.52380952380953,21.29205
"9","Labrador...Newfoundland",0.410394415944832,21.2211
"10","North.Sea",4.57157784743992,27.3495
"11","Northeast.U.S..Continental.Shelf",4.28571428571429,24.0158
"12","Norwegian.Sea",2.71029724252791,27.67945
"13","Scotian.Shelf",2.70319634703196,14.758
