"name","vals","nas","percent_na"
"Barents.Sea_1",2161,1297,60.0185099490976
"Barents.Sea_10",3195,2271,71.0798122065728
"Barents.Sea_11",2883,1979,68.6437738466875
"Barents.Sea_12",2517,1633,64.8788239968216
"Barents.Sea_2",2634,1737,65.9453302961276
"Barents.Sea_3",3045,2150,70.6075533661741
"Canadian.Eastern.Arctic...West.Greenland_1",565,26,4.60176991150442
"Canadian.Eastern.Arctic...West.Greenland_10",667,49,7.34632683658171
"Canadian.Eastern.Arctic...West.Greenland_11",655,30,4.58015267175572
"Canadian.Eastern.Arctic...West.Greenland_12",611,31,5.07364975450082
"Canadian.Eastern.Arctic...West.Greenland_2",483,18,3.72670807453416
"Faroe.Plateau_1",601,12,1.99667221297837
"Faroe.Plateau_10",600,11,1.83333333333333
"Faroe.Plateau_11",605,12,1.98347107438017
"Faroe.Plateau_12",603,13,2.1558872305141
"Faroe.Plateau_2",606,12,1.98019801980198
"Faroe.Plateau_3",603,13,2.1558872305141
"Iceland.Shelf.and.Sea_1",1025,89,8.68292682926829
"Iceland.Shelf.and.Sea_10",1024,89,8.69140625
"Iceland.Shelf.and.Sea_11",1018,83,8.1532416502947
"Iceland.Shelf.and.Sea_12",1023,83,8.11339198435973
"Iceland.Shelf.and.Sea_2",1020,89,8.72549019607843
"Iceland.Shelf.and.Sea_3",1023,84,8.21114369501466
"North.Sea_1",623,29,4.65489566613162
"North.Sea_10",627,31,4.94417862838915
"North.Sea_11",632,30,4.74683544303798
"North.Sea_12",626,29,4.63258785942492
"North.Sea_2",625,29,4.64
"North.Sea_3",620,29,4.67741935483871
