"population","tracking_year","b","c","exposure_score"
"Alkefjellet","2006","0.999999999790031","0.995542177307737","22.0581"
"Alkefjellet","2007","1.00000000004402","0.992216863179937","20.7756"
"Alkefjellet","2008","1.00000000026895","0.992070694532853","18.899"
"Alkefjellet","2009","0.999999999983124","0.992813304071817","21.0268"
"Alkefjellet","2010","0.99999999984718","0.992333186579451","22.1578"
"Alkefjellet","2011","1.00000000004402","0.992216863179937","20.7756"
"Alkefjellet","2019","1.00000000000083","0.99443022514823","22.1948"
"Alkefjellet","2020","0.999999999946322","0.993143315487297","20.7678"
"Bjørnøya","2006","0.999999999860351","1.00497006743793","22.2127"
"Bjørnøya","2007","0.999999999998837","0.991939024756278","22.7355"
"Bjørnøya","2008","1.00000000008408","0.989730299479761","22.8877"
"Bjørnøya","2009","1.00000000007463","0.990756666202316","23.1903"
"Bjørnøya","2010","1.00000000001074","0.991165899984149","23.2989"
"Combined","2006","0.999999999847155","0.995067065158994","23.2156"
"Combined","2007","0.999999999954869","0.993643660161275","23.169"
"Combined","2008","0.999999999965284","0.993142055130474","22.519"
"Combined","2009","0.99999999996237","0.992875148943637","23.2694"
"Combined","2010","0.999999999912355","0.994284090094893","23.7945"
"Combined","2011","0.999999999905258","0.99386850015478","23.4476"
"Combined","2012","1.00000000004512","0.993753403133837","23.4128"
"Eynhallow","2006","0.999999999952882","0.997864932399914","26.1873"
"Eynhallow","2007","0.999999999932856","0.999706646636862","26.5887"
"Eynhallow","2008","1.00000000011309","0.998662567508651","26.2643"
"Eynhallow","2009","1.00000000007072","1.00068964352602","26.2821"
"Eynhallow","2010","1.00000000000135","0.999071240631535","26.5656"
"Eynhallow","2011","0.999999999895445","0.997537176571177","25.4147"
"Eynhallow","2012","1.00000000022424","0.99903568152661","26.3601"
"Eynhallow","2014","0.999999999865478","0.997238720347231","26.5059"
"Eynhallow","2015","0.999999999898948","1.00417054414007","27.5425"
"Eynhallow","2016","0.999999999972046","0.996081912968403","25.5351"
"Eynhallow","2017","0.999999999782409","0.997720161246993","26.4221"
"Eynhallow","2018","0.999999999976569","0.999892494734477","26.0679"
"Eynhallow","2019","0.999999999895347","0.996573439343905","26.6724"
"Eynhallow","2020","0.999999999925012","0.996065478859262","26.1405"
"Faroe.Islands","2006","0.999999999984282","1.00017483334802","26.3738"
"Faroe.Islands","2007","0.999999999881377","0.997162688191027","25.2395"
"Faroe.Islands","2008","0.999999999853892","0.997166032768325","25.5437"
"Faroe.Islands","2009","0.999999999986859","0.996582943295965","24.3711"
"Faroe.Islands","2010","0.999999999954588","0.997311333208644","23.3174"
"Faroe.Islands","2011","0.999999999939396","0.996966356579743","22.9176"
"Faroe.Islands","2020","0.999999999883304","0.997130983405448","25.5662"
"Inishkea","2006","0.999999999835943","0.99657454027943","26.2707"
"Inishkea","2007","0.999999999973946","0.999441627652636","26.774"
"Inishkea","2020","0.999999999911197","0.999235494352475","26.768"
"Isle.of.Canna","2006","0.999999999886314","0.997701124063483","26.0209"
"Isle.of.Canna","2007","0.999999999956223","0.997261603275947","27.423"
"Jan.Mayen","2006","1.00000000004452","0.994964041559286","24.7321"
"Jan.Mayen","2007","0.999999999933392","0.994216508356665","24.2824"
"Jan.Mayen","2008","0.999999999870222","0.992796296733067","23.4103"
"Jan.Mayen","2009","1.00000000004265","0.992782204028403","24.2657"
"Jan.Mayen","2010","0.999999999967448","0.994434324650986","24.5108"
"Jan.Mayen","2011","0.999999999988746","0.993440513077187","24.3745"
"Jan.Mayen","2012","0.999999999915055","0.994775679154883","24.7246"
"Jan.Mayen","2020","0.999999999869576","0.994519019961326","24.7212"
"Jarsteinen","2006","0.999999999968754","0.997975075299575","25.0164"
"Jarsteinen","2007","0.999999999936939","1.00237900540847","27.2079"
"Jarsteinen","2008","0.99999999996699","0.999538607348577","28.0769"
"Jarsteinen","2009","1.00000000014704","0.999941480708734","26.1383"
"Jarsteinen","2010","1.00000000011115","1.00000318663444","24.4467"
"Jarsteinen","2011","0.999999999891914","0.999256836949556","24.6916"
"Jarsteinen","2012","1.00000000000393","1.00140254812064","23.8561"
"Jarsteinen","2014","1.00000000029802","1.00068972979255","26.1887"
"Jarsteinen","2020","1.00000000015099","1.00036398230992","28.1402"
"Langanes","2006","0.999999999795102","0.994332341476651","25.2484"
"Langanes","2007","1.00000000029134","0.995402348777714","24.9912"
"Langanes","2008","1.00000000004226","0.99289056141404","23.9646"
"Langanes","2009","1.00000000015859","0.993516428342314","23.0543"
"Langanes","2010","1.00000000003669","0.99598550803513","25.5763"
"Little.Saltee","2006","1.00000000023064","1.00256306565671","28.832"
"Little.Saltee","2007","0.99999999940359","0.999584139080837","28.9492"
"Little.Saltee","2008","1.00000000027439","0.999821909313458","27.1629"
"Little.Saltee","2009","0.99999999990665","1.0030903198473","27.1873"
"Little.Saltee","2020","0.99999999990372","1.00442619292185","27.1435"
"Skjalfandi","2006","1.00000000019375","0.992367337008248","23.0878"
"Skjalfandi","2007","0.999999999983646","0.993745393664372","23.1245"
"Skjalfandi","2008","0.999999999923324","0.992464537002049","22.4118"
"Skjalfandi","2009","0.999999999986701","0.994262117853895","23.2947"
"Skjalfandi","2010","1.00000000010967","0.994287795539054","23.7195"
"Skjalfandi","2011","1.00000000001987","0.9953157365461","23.4656"
"Skjalfandi","2012","1.00000000004512","0.993753403133837","23.4128"
"Skjalfandi","2020","0.999999999993996","0.994289413824043","23.4003"
